date,congress,url,member_id,member,party,roll_call,session,type
6/18/14,113,http://beta.congress.gov/congressional-record/2014/06/18/extensions-of-remarks-section/article/E1016-4,G000558,GUTHRIE,R,285,2,amendment
6/17/14,113,http://beta.congress.gov/congressional-record/2014/06/17/extensions-of-remarks-section/article/E996-1,B000013,BACHUS,R,294,2,amendment
6/11/14,113,http://beta.congress.gov/congressional-record/2014/06/11/extensions-of-remarks-section/article/E952-3,W000800,WELCH,D,277,2,amendment
6/11/14,113,http://beta.congress.gov/congressional-record/2014/06/11/extensions-of-remarks-section/article/E960-4,N000179,NAPOLITANO,D,277,2,amendment
6/10/14,113,http://beta.congress.gov/congressional-record/2014/06/10/house-section/article/H5239-2,J000032,JACKSON LEE,D,286,2,amendment
6/5/14,113,http://beta.congress.gov/congressional-record/2014/06/05/extensions-of-remarks-section/article/E908-2,S001192,STEWART,R,254,2,amendment
4/3/14,113,http://beta.congress.gov/congressional-record/2014/04/03/extensions-of-remarks-section/article/E511-2,S000510,SMITH OF WASHINGTON,D,153,2,procedural
3/26/14,113,http://beta.congress.gov/congressional-record/2014/03/26/extensions-of-remarks-section/article/E451-3,S000185,SCOTT OF VIRGINIA,D,141,2,passage
3/6/14,113,http://beta.congress.gov/congressional-record/2014/03/06/extensions-of-remarks-section/article/E323-2,H001034,HONDA,D,98,2,passage
2/27/14,113,http://beta.congress.gov/congressional-record/2014/02/27/extensions-of-remarks-section/article/E268-4,W000798,WALBERG,D,70,2,amendment
2/10/14,113,http://beta.congress.gov/congressional-record/2014/02/10/extensions-of-remarks-section/article/E186-3,S000018,SALMON,R,38,2,amendment
2/10/14,113,http://beta.congress.gov/congressional-record/2014/02/10/extensions-of-remarks-section/article/E189-4,Y000062,YARMUTH,D,50,2,passage
2/6/14,113,http://beta.congress.gov/congressional-record/2014/02/06/extensions-of-remarks-section/article/E178-3,S001192,STEWART,R,38,2,amendment
1/29/14,113,http://beta.congress.gov/congressional-record/2014/01/29/extensions-of-remarks-section/article/E138-3,P000265,PETRI,R,30,2,passage
1/17/14,113,http://beta.congress.gov/congressional-record/2014/01/17/extensions-of-remarks-section/article/E104-2,V000130,VARGAS,D,23,2,passage
12/9/13,113,http://beta.congress.gov/congressional-record/2013/12/09/extensions-of-remarks-section/article/E1810-2,B001256,BACHMANN,R,593,1,procedural
12/9/13,113,http://beta.congress.gov/congressional-record/2013/12/09/extensions-of-remarks-section/article/E1815-3,G000549,GERLACH,R,625,1,amendment
11/18/13,113,http://beta.congress.gov/congressional-record/2013/11/18/extensions-of-remarks-section/article/E1692-1,B000574,BLUMENAUER,D,569,1,passage
10/14/13,113,http://beta.congress.gov/congressional-record/2013/10/14/extensions-of-remarks-section/article/E1507-5,L000569,LUETKEMEYER,R,546,1,procedural
10/9/13,113,http://beta.congress.gov/congressional-record/2013/10/09/extensions-of-remarks-section/article/E1467-3,M001143,MCCOLLUM,D,528,1,passage
9/19/13,113,http://beta.congress.gov/congressional-record/2013/09/19/extensions-of-remarks-section/article/E1344-1,M001188,MENG,D,471,1,passage
8/2/13,113,http://beta.congress.gov/congressional-record/2013/08/02/extensions-of-remarks-section/article/E1210-3,R000593,ROSS,R,430,1,amendment
8/1/13,113,http://beta.congress.gov/congressional-record/2013/08/01/extensions-of-remarks-section/article/E1189-3,C000714,CONYERS,D,426,1,passage
7/31/13,113,http://beta.congress.gov/congressional-record/2013/07/31/extensions-of-remarks-section/article/E1178-2,P000604,PAYNE,D,422,1,amendment
7/25/13,113,http://beta.congress.gov/congressional-record/2013/07/25/extensions-of-remarks-section/article/E1135-2,R000577,RYAN OF OHIO,R,394,1,amendment
7/25/13,113,http://beta.congress.gov/congressional-record/2013/07/25/extensions-of-remarks-section/article/E1145-1,P000604,PAYNE,D,412,1,amendment
7/24/13,113,http://beta.congress.gov/congressional-record/2013/07/24/house-section/article/H5031-6,B001251,BUTTERFIELD,D,,1,amendment
7/24/13,113,http://beta.congress.gov/congressional-record/2013/07/24/extensions-of-remarks-section/article/E1121-6,C001095,COTTON,R,392,1,amendment
7/24/13,113,http://beta.congress.gov/congressional-record/2013/07/24/extensions-of-remarks-section/article/E1128-1,C001077,COFFMAN,R,385,1,amendment
7/24/13,113,http://beta.congress.gov/congressional-record/2013/07/24/extensions-of-remarks-section/article/E1130-2,F000450,FOXX,R,386,1,amendment
7/19/13,113,http://beta.congress.gov/congressional-record/2013/07/19/extensions-of-remarks-section/article/E1099-1,R000577,RYAN OF OHIO,D,367,1,amendment
7/11/13,113,http://beta.congress.gov/congressional-record/2013/07/11/extensions-of-remarks-section/article/E1050-3,C001038,CROWLEY,D,306,1,passage
